"1 мая (. 1З58 км) (ПП.)","О ","Одесская",406513,"Котовск-36, Раздельная-Сортировочная-74",
"IШевченко (ОП.)","О ","Юго-Западная",333736,,
"Аакре (ОП.)","О ","Эстонская",85827,,
"Аапста (ОП.)","О ","Грузинская",574066,,
"Аардла (ОП.)","О ","Эстонская",85780,,
"Абадан","Х ","Узбекская",737139,"Найманкуль-234",
"Абадан I (б.№9З) (рзд.)","О ","Туркменская",753112,"Туркменбаши I-527, Мары-376",
"Абадан II","П 1,3","Туркменская",753108,"Туркменбаши I-538, Мары-365",
"Абазовка","О ","Южная",447602,"Ромодан-99, Полтава-Южная-32",
"Абаил","О ","Казахстанская",699767,"Арысь I-193, Луговая-221",
"Абаклия","П 3","Молдавская",398904,"Басарабяска-10, Етулия-117",
"Абамеликово","О ","Одесская",408006,"Слободка-12, Рудница-42",
"Абаша","Б ","Грузинская",571706,"Сенаки-14, Самтредиа-14",
"Аблык 8н","О 1,3,4,6,8,9,10,10Н","Узбекская",722701,"Ташкент-Товарный-115, Хаваст-252",
"Абовян","О 1,3,9","ЗАО ""Южно-Кавказская железная дорога""",568101,"Масис-65, Ереван-79",
"Абрикосовый (ОП.)","О ","Донецкая",500217,,
"Абыла (ОП.)","О ","Казахстанская",670920,,
"Августовский (рзд.)","О 3","Южная",429106,"Прилуки-25, Бахмач-Пассажирский-58",
"Авдеевка","Б 1,3","Донецкая",482803,"ТП",
"Авраамовская (ОП.)","Б ","Белорусская",154529,,
"Аврора","О 3","Казахстанская",712502,"Локоть-167",
"Автостанция (ОП.)","О ","Южная",428090,,
"Авчала","Б 3,8Н","Грузинская",560307,"Хашури-110, Тбилиси-Узловая-16",
"Авчала (эксп.)",,"Грузинская",560330,"Хашури-110, Тбилиси-Узловая-16",
"Агара","Б 1,3","Грузинская",578705,"Хашури-20, Тбилиси-Узловая-106",
"Агбент","О ","Азербайджанская",551168,"Османлы-Новые-246, Джульфа-103",
"Агдам","Б 1,4","Азербайджанская",555506,"Акстафа-240, Гаджигабул(б.Кази-Магомед)-245",
"Агин","Б 1","ЗАО ""Южно-Кавказская железная дорога""",566407,"Гюмри-26, Масис-114",
"Аглона","О 1,3","Латвийска",113406,"Даугавпилс-Шкирошанас-38, Резекне I-46",
"Агрономический (ОП.)","О ","Донецкая",487421,,
"Агудзера (ОП.)","О ","Грузинская",573813,,
"Агурис Кархана (ОП.)","О ","Грузинская",571119,,
"Агур-Кархана","Б 3","Грузинская",571808,"Сенаки-8, Самтредиа-20",
"Адабаш","Б 3","Одесская",423805,"Помошная-16, Им.Тараса Шевченко-113",
"Адамово","О ","Белорусская",162012,"Полоцк парк Громы-25, Бигосово-60",
"Адамовское (ОП.)","О ","Приднепровская",458611,,
"Адамполь","Б 3","Юго-Западная",337604,"Староконстантинов I-40, Казатин I-107",
"Аджамети","Х ","Грузинская",575707,"Самтредиа-39, Хашури-85",
"Аджибугут(б. 141 км)","О 3","Узбекская",732402,"Навои-196, Учкудук-94",
"Адзюбжа (рзд.)","О 3","Грузинская",573701,"Гантиади-133, Сенаки-103",
"Адровка (ОП.)","О ","Белорусская",168663,,
"Ажинияз (рзд.)","Х ","Узбекская",737124,"Найманкуль-211",
"Аза","О ","Азербайджанская",550023,"Османлы-Новые-327, Джульфа-22",
"Азадыкент","О ","Азербайджанская",552635,"Османлы-Новые-17, Акстафа-166",
"Азат","Б 3","Казахстанская",687508,"Петропавловск-153, Чаглинка-24",
"Азатлык","О 3","Туркменская",749301,"Талимарджан-72, Разъезд № 161-122",
"Азизбекова (ОП.)","О ","Азербайджанская",547684,,
"Азовсталь (ОП.)","О ","Донецкая",484713,,
"Аиртау","О ","Казахстанская",709162,"Локоть-286, Актогай-467",
"Айамаа (ОП.)","О ","Эстонская",85757,,
"Айвазовская","Б 1,3,5,8","ФГУП ""КЖД""",868405,"ТП",
"Айвазовская","Б 1,3,5,8","ФГУП ""КЖД""",868405,"ТП",
